,CustomerID,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer,Age
0,11000,Bachelors ,Professional,M,M,1,0,0,2,137947,89,0,"25,45"
1,11001,Bachelors ,Professional,M,S,0,1,3,3,101141,117,1,"25,45"
2,11002,Bachelors ,Professional,M,M,1,1,3,3,91945,123,0,"25,45"
3,11003,Bachelors ,Professional,F,S,0,1,0,0,86688,50,0,"25,45"
4,11004,Bachelors ,Professional,F,S,1,4,5,5,92771,95,1,"25,45"
5,11005,Bachelors ,Professional,M,S,1,1,0,0,103199,78,1,"25,45"
6,11006,Bachelors ,Professional,F,S,1,1,0,0,84756,54,1,"25,45"
7,11007,Bachelors ,Professional,M,M,1,2,3,3,109759,130,1,"25,45"
8,11008,Bachelors ,Professional,F,S,1,3,4,4,88005,85,1,"25,45"
9,11009,Bachelors ,Professional,M,S,0,1,0,0,106399,74,0,"25,45"
10,11010,Bachelors ,Professional,F,S,0,1,0,0,81294,49,0,"25,45"
11,11011,Bachelors ,Professional,M,M,1,4,4,4,94029,146,1,"25,45"
12,11012,Bachelors ,Management,F,M,1,2,0,2,99245,55,1,"25,45"
13,11013,Bachelors ,Management,M,M,1,3,0,2,115859,84,0,"25,45"
14,11014,Bachelors ,Management,F,S,0,3,0,3,105157,49,0,"25,45"
15,11015,Partial College,Skilled Manual,F,S,0,1,0,0,40011,39,0,<25
16,11016,Partial College,Skilled Manual,M,M,1,1,0,0,46808,68,0,<25
17,11019,High School,Skilled Manual,M,S,0,2,0,0,49455,64,1,<25
18,11020,High School,Skilled Manual,M,S,0,2,0,0,43857,64,0,<25
19,11023,Partial College,Skilled Manual,M,M,1,1,0,0,50046,71,0,<25
20,11024,Partial College,Skilled Manual,M,M,1,2,0,0,91276,77,0,<25
21,11025,Partial High School,Clerical,M,M,1,2,1,2,24334,70,0,"45,55"
22,11026,Partial College,Clerical,M,S,0,2,0,2,61905,63,0,"45,55"
23,11027,Partial College,Clerical,M,M,1,2,0,2,49349,76,0,"45,55"
24,11028,Partial College,Clerical,F,M,1,2,0,2,44068,43,0,"45,55"
25,11031,High School,Skilled Manual,F,M,1,2,0,4,18843,43,0,"45,55"
26,11032,High School,Skilled Manual,F,M,1,2,0,4,15861,42,0,"45,55"
27,11033,High School,Skilled Manual,M,M,1,2,0,4,35822,58,0,"45,55"
28,11034,High School,Skilled Manual,F,M,1,2,0,4,29017,39,0,"45,55"
29,11035,Partial High School,Clerical,F,M,1,2,1,2,11721,50,0,"45,55"
30,11036,Partial College,Skilled Manual,F,M,1,2,0,0,84890,52,0,<25
31,11037,Partial High School,Clerical,F,S,0,2,0,0,48651,46,0,<25
32,11040,Partial College,Skilled Manual,M,M,1,2,0,0,56248,65,0,<25
33,11042,Partial College,Skilled Manual,F,M,1,2,0,0,70623,55,0,<25
34,11043,Partial College,Skilled Manual,M,M,1,2,0,0,78150,77,0,<25
35,11044,Partial High School,Clerical,M,M,1,2,1,2,24007,76,0,"45,55"
36,11045,High School,Skilled Manual,M,S,0,2,0,3,51472,63,0,"45,55"
37,11046,High School,Skilled Manual,F,M,1,2,0,3,50798,48,0,"45,55"
38,11047,High School,Skilled Manual,F,M,0,2,0,3,42738,43,0,"45,55"
39,11049,Partial High School,Clerical,F,S,1,2,0,0,48422,41,1,<25
40,11050,High School,Skilled Manual,M,M,1,2,0,3,58585,73,0,"45,55"
41,11051,High School,Skilled Manual,M,S,0,2,0,3,45982,64,0,"45,55"
42,11052,Partial College,Clerical,F,S,0,2,0,2,50790,49,0,"45,55"
43,11053,Partial College,Skilled Manual,F,M,0,2,0,0,91599,51,0,<25
44,11054,Partial College,Skilled Manual,F,M,1,2,0,2,50018,43,0,"45,55"
45,11055,Partial College,Skilled Manual,M,M,1,2,0,2,53459,75,0,"45,55"
46,11056,Partial College,Skilled Manual,F,M,1,2,0,3,38588,46,0,"45,55"
47,11057,Graduate Degree,Management,M,M,1,2,0,2,119540,82,0,"45,55"
48,11058,Partial College,Skilled Manual,M,M,1,2,0,2,119982,87,0,"25,45"
49,11059,Partial College,Skilled Manual,F,S,1,2,0,2,86953,45,0,"25,45"
50,11060,Partial College,Skilled Manual,M,M,1,2,0,2,116368,87,0,"25,45"
51,11061,Partial College,Skilled Manual,M,M,1,2,0,2,110712,84,1,"25,45"
52,11062,High School,Skilled Manual,M,M,1,2,0,0,52145,71,0,<25
53,11063,High School,Skilled Manual,F,S,1,2,0,0,49609,40,0,<25
54,11064,High School,Skilled Manual,M,M,1,2,0,0,58306,76,0,<25
55,11065,Partial College,Skilled Manual,F,M,0,2,0,0,73388,48,1,"25,45"
56,11066,Partial College,Professional,F,M,1,2,0,0,61686,50,0,"25,45"
57,11067,Partial College,Professional,M,S,1,2,0,0,96049,70,1,<25
58,11070,High School,Skilled Manual,M,M,1,2,0,2,109883,87,0,"25,45"
59,11071,High School,Skilled Manual,F,S,1,2,0,2,106718,51,0,"25,45"
60,11072,High School,Skilled Manual,F,S,0,2,0,2,97646,52,0,"25,45"
61,11073,High School,Skilled Manual,F,S,1,2,0,2,58916,51,0,"25,45"
62,11074,High School,Skilled Manual,M,S,1,2,0,2,93934,74,0,"25,45"
63,11075,High School,Professional,F,S,1,2,0,2,99137,51,0,"25,45"
64,11076,High School,Professional,M,S,1,2,0,2,112044,73,0,"25,45"
65,11077,High School,Professional,F,S,0,2,0,2,108728,55,0,"25,45"
66,11078,High School,Professional,F,S,0,2,0,0,49084,48,1,<25
67,11079,Graduate Degree,Management,M,S,1,2,0,0,172444,87,0,"25,45"
68,11080,Graduate Degree,Management,M,M,1,2,0,0,181590,92,1,"25,45"
69,11081,Bachelors ,Management,F,M,1,3,2,2,148109,76,0,"25,45"
70,11082,Graduate Degree,Management,F,S,0,3,1,1,149717,62,1,"25,45"
71,11083,Graduate Degree,Management,F,M,1,3,1,1,163913,68,1,"25,45"
72,11085,High School,Professional,F,S,0,2,0,2,66900,47,0,"25,45"
73,11086,Partial College,Professional,M,M,1,0,1,2,97834,98,0,"25,45"
74,11088,Bachelors ,Management,M,M,1,0,1,2,129910,104,0,"25,45"
75,11089,Bachelors ,Management,F,S,1,1,1,2,91729,57,1,"25,45"
76,11090,Partial College,Professional,M,S,1,1,0,2,113883,76,0,"25,45"
77,11091,Partial College,Professional,M,M,1,1,0,2,112820,82,0,"25,45"
78,11093,Graduate Degree,Management,F,M,1,0,0,0,106839,58,0,"25,45"
79,11094,Partial College,Skilled Manual,M,S,0,1,0,1,88887,78,1,"25,45"
80,11095,Partial College,Skilled Manual,M,S,1,1,0,1,108740,77,0,"25,45"
81,11096,Bachelors ,Professional,M,M,1,1,0,1,106971,87,1,"25,45"
82,11097,Partial College,Skilled Manual,M,M,1,1,0,1,98519,80,0,"25,45"
83,11098,Partial College,Skilled Manual,F,S,0,1,0,1,82707,54,0,"25,45"
84,11099,Bachelors ,Professional,M,M,1,1,0,1,103866,83,1,"25,45"
85,11100,Partial College,Skilled Manual,F,S,1,1,0,1,66520,46,0,"25,45"
86,11101,Bachelors ,Professional,F,S,0,1,0,0,75270,47,1,"25,45"
87,11102,Bachelors ,Professional,F,S,1,4,5,5,95167,89,1,"25,45"
88,11103,Bachelors ,Professional,F,S,1,1,0,0,85087,49,0,"25,45"
89,11104,Bachelors ,Professional,M,M,0,1,0,0,102445,85,0,"25,45"
90,11105,Bachelors ,Professional,F,S,0,1,0,0,88445,52,0,"25,45"
91,11106,Bachelors ,Professional,M,S,0,1,0,0,97782,74,1,"25,45"
92,11107,Bachelors ,Professional,F,M,1,1,0,1,117317,54,1,"25,45"
93,11109,Bachelors ,Professional,M,S,0,2,0,0,106891,79,1,"25,45"
94,11110,Partial College,Skilled Manual,M,M,1,1,0,1,77012,74,1,"25,45"
95,11111,Partial College,Skilled Manual,F,M,1,1,0,1,62702,56,1,"25,45"
96,11112,Partial College,Skilled Manual,F,M,1,1,0,1,73151,51,0,"25,45"
97,11113,Bachelors ,Professional,M,M,1,2,4,5,104220,142,1,"25,45"
98,11115,Partial College,Skilled Manual,M,M,1,2,4,5,93330,141,1,"25,45"
99,11116,Partial College,Skilled Manual,M,M,1,2,4,5,86770,140,1,"25,45"
100,11117,Partial College,Skilled Manual,F,M,1,3,4,5,73276,84,1,"25,45"
101,11119,Partial College,Clerical,M,S,0,2,0,2,51078,58,0,>=55
102,11120,Bachelors ,Management,F,S,1,1,0,2,52280,37,0,>=55
103,11122,Partial College,Skilled Manual,M,M,1,3,4,5,88615,143,0,"25,45"
104,11123,Partial College,Skilled Manual,M,M,1,3,4,5,102114,140,1,"25,45"
105,11124,Partial College,Skilled Manual,M,S,1,1,0,1,106875,80,1,"25,45"
106,11125,Partial College,Skilled Manual,F,S,1,1,0,1,65730,46,0,"25,45"
107,11126,High School,Skilled Manual,M,M,0,2,1,2,32857,75,0,"45,55"
108,11127,High School,Skilled Manual,F,M,1,1,0,0,46078,46,0,<25
109,11129,High School,Skilled Manual,F,S,1,1,0,0,32122,37,0,<25
110,11130,High School,Skilled Manual,F,M,1,2,0,0,34879,48,0,<25
111,11131,High School,Skilled Manual,F,M,0,2,0,0,39266,44,0,<25
112,11132,High School,Skilled Manual,F,S,0,2,0,0,44139,40,0,<25
113,11133,Partial High School,Clerical,F,S,0,2,0,0,37010,34,0,<25
114,11134,High School,Skilled Manual,M,S,1,2,0,5,26209,64,1,"45,55"
115,11135,Partial High School,Clerical,M,S,0,2,0,0,64613,63,0,<25
116,11136,High School,Skilled Manual,F,S,0,2,0,0,38527,46,0,<25
117,11137,High School,Skilled Manual,F,M,1,2,0,0,42811,47,0,<25
118,11138,High School,Skilled Manual,F,M,0,2,0,0,48772,45,0,<25
119,11139,Partial College,Clerical,F,S,0,2,0,2,27610,39,0,>=55
120,11140,Partial High School,Clerical,M,S,0,2,0,0,64633,69,0,<25
121,11141,High School,Skilled Manual,F,M,0,2,0,0,32916,43,0,<25
122,11142,High School,Skilled Manual,M,S,0,2,0,0,63488,73,1,<25
123,11144,High School,Skilled Manual,M,S,0,2,0,0,54938,64,0,<25
124,11145,High School,Skilled Manual,F,S,0,2,0,0,29691,37,0,<25
125,11146,Bachelors ,Management,F,S,1,2,0,2,66934,47,0,>=55
126,11147,Graduate Degree,Management,M,M,1,1,0,2,124211,78,0,>=55
127,11148,Bachelors ,Management,M,M,1,2,0,2,63251,67,0,>=55
128,11149,Bachelors ,Management,M,M,1,2,0,2,82448,71,0,>=55
129,11150,Bachelors ,Management,M,S,1,2,0,2,77855,69,0,>=55
130,11151,Graduate Degree,Management,F,S,0,1,0,2,94385,46,0,>=55
131,11152,High School,Skilled Manual,M,S,1,2,0,0,62553,72,1,<25
132,11153,High School,Skilled Manual,F,M,1,2,0,0,37229,42,0,<25
133,11154,Partial College,Skilled Manual,F,S,1,1,0,0,33375,38,0,<25
134,11155,Partial College,Skilled Manual,M,S,0,1,0,0,60713,68,1,<25
135,11157,High School,Skilled Manual,F,M,1,2,0,0,45639,50,0,<25
136,11158,High School,Skilled Manual,M,S,1,2,0,0,57274,65,0,<25
137,11159,High School,Skilled Manual,F,S,0,2,0,0,32033,40,0,<25
138,11160,Partial College,Skilled Manual,M,S,0,1,0,0,54434,69,0,<25
139,11161,Partial College,Skilled Manual,F,S,0,1,0,0,46024,44,1,<25
140,11163,Partial College,Skilled Manual,M,M,1,1,0,0,56829,66,0,<25
141,11164,Partial College,Skilled Manual,M,S,0,1,0,0,48946,64,1,<25
142,11165,Partial College,Skilled Manual,F,M,0,1,0,0,89154,52,0,"25,45"
143,11166,Partial College,Skilled Manual,F,S,0,2,0,0,70041,46,1,"25,45"
144,11169,Bachelors ,Management,M,M,1,1,4,4,116323,141,1,"25,45"
145,11170,Bachelors ,Management,F,M,1,1,4,4,104668,91,1,"25,45"
146,11171,Bachelors ,Management,M,S,1,2,0,1,128776,80,1,"25,45"
147,11173,Graduate Degree,Management,F,S,0,4,0,0,151318,51,0,"25,45"
148,11174,Graduate Degree,Management,M,M,1,0,1,1,183231,109,1,"25,45"
149,11175,Partial College,Skilled Manual,M,S,1,2,0,0,98032,70,1,"25,45"
150,11176,Bachelors ,Management,M,M,1,1,4,4,140875,148,1,"25,45"
151,11177,Graduate Degree,Management,M,M,1,2,4,4,185657,144,1,>=55
152,11179,Graduate Degree,Management,F,M,1,3,4,4,141844,91,0,>=55
153,11180,Bachelors ,Management,F,M,1,4,3,3,145176,73,1,>=55
154,11181,Graduate Degree,Management,M,M,1,2,3,3,184504,126,0,>=55
155,11182,Bachelors ,Management,F,S,1,2,0,4,80891,39,0,"45,55"
156,11183,Bachelors ,Management,F,S,1,2,0,4,90366,51,1,"45,55"
157,11184,Bachelors ,Management,F,S,1,2,0,4,91037,42,0,"45,55"
158,11185,Bachelors ,Management,F,S,1,2,0,4,83404,48,0,"45,55"
159,11186,Bachelors ,Management,F,S,1,2,0,4,79819,46,0,"45,55"
160,11187,Graduate Degree,Management,F,M,1,2,0,4,85829,49,0,"45,55"
